H2Hs,Opponent,W,L,Win%,TB,TBW,TBL,TB%,First Match,Last Match,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
5,Tallon Griekspoor [NED],5,0,100.0%,3,2,1,66.7%,13‑Feb‑2023,17‑Jun‑2024,5,1.62,15.1%,1.7%,63.1%,84.2%,65.9%,77.4%,36.6%,91.7%,52.2%
5,Grigor Dimitrov [BUL],4,1,80.0%,1,1,0,100.0%,14‑Sep‑2020,27‑May‑2024,4,1.13,3.5%,2.4%,59.9%,70.3%,53.9%,63.8%,40.9%,72.0%,36.6%
5,Karen Khachanov [RUS],4,1,80.0%,5,4,1,80.0%,31‑Aug‑2020,22‑Apr‑2024,5,1.02,5.7%,3.0%,60.2%,73.6%,51.9%,64.9%,35.8%,76.9%,37.2%
5,Lorenzo Sonego [ITA],5,0,100.0%,1,0,1,0.0%,6‑Feb‑2023,22‑Apr‑2024,5,1.62,5.6%,1.9%,63.8%,79.1%,65.8%,74.3%,41.6%,92.3%,41.5%
5,Alexander Zverev [GER],1,4,20.0%,3,0,3,0.0%,28‑Sep‑2020,28‑Aug‑2023,5,0.94,4.2%,4.0%,56.7%,70.3%,48.2%,60.7%,36.9%,58.3%,40.0%
5,Mikael Ymer [SWE],3,2,60.0%,0,0,0,,5‑Nov‑2019,18‑Sep‑2022,4,1.36,5.1%,4.4%,60.5%,79.2%,49.1%,67.3%,44.3%,71.4%,38.3%
4,Ben Shelton [USA],3,1,75.0%,4,3,1,75.0%,2‑Oct‑2023,1‑Jul‑2024,4,1.33,8.0%,0.9%,72.8%,76.2%,61.4%,72.1%,37.1%,85.7%,40.0%
4,Miomir Kecmanovic [SRB],4,0,100.0%,1,1,0,100.0%,5‑Nov‑2019,1‑Jul‑2024,4,1.38,12.5%,2.6%,59.2%,79.0%,57.4%,70.2%,41.2%,78.9%,40.0%
4,Holger Rune [DEN],2,2,50.0%,1,0,1,0.0%,26‑Sep‑2022,8‑Apr‑2024,4,1.20,7.3%,2.2%,59.7%,76.0%,59.7%,69.5%,36.7%,72.0%,29.0%
4,Thanasi Kokkinakis [AUS],4,0,100.0%,3,2,1,66.7%,15‑Aug‑2022,4‑Mar‑2024,4,1.47,5.8%,1.8%,62.7%,76.9%,67.0%,73.2%,39.4%,85.7%,45.8%
